name,account_name,group,password
Lewis Dunk,lewis.dunk,brighton_and_hove,gmTSPBNRoLxR1
Shane Duffy,shane.duffy,brighton_and_hove,sT!IMv0HKpMBm
Uwe Hunemeier,uwe.hunemeier,brighton_and_hove,*rskdJ*CmSTZQ
Bruno,bruno,brighton_and_hove,@hcieCS#Ibn&0
Gaetan Bong,gaetan.bong,brighton_and_hove,hxrXqqOJvH*Fh
Liam Rosenior,liam.rosenior,brighton_and_hove,IG9FmfMUjq@Ub
Connor Goldson,connor.goldson,brighton_and_hove,kT0Q&psYPGXoW
Markus Suttner,markus.suttner,brighton_and_hove,oFR7kR11tZlgr
Anthony Knockaert,anthony.knockaert,brighton_and_hove,Gba!RhZwwOPrU
Dale Stephens,dale.stephens,brighton_and_hove,UlYOFWp$#GFXX
Beram Kayal,beram.kayal,brighton_and_hove,T1h9GD@CAFoMh
Steve Sidwell,steve.sidwell,brighton_and_hove,S#GCrIbvn1mm8
Solly March,solly.march,brighton_and_hove,EwZjQhL2rVpW@
Jiri Skalak,jiri.skalak,brighton_and_hove,RedOGLdM^A$sw
Oliver Norwood,oliver.norwood,brighton_and_hove,D33!m2XHJJH6&
Jamie Murphy,jamie.murphy,brighton_and_hove,V6zSaXibAXSEw
Pascal Gross,pascal.gross,brighton_and_hove,jjlAtVW7dNuuI
Glenn Murray,glenn.murray,brighton_and_hove,T2Wt&FbcYiX28
Tomer Hemed,tomer.hemed,brighton_and_hove,0VhlQz3wCmK^T
Sam Baldock,sam.baldock,brighton_and_hove,fQ4fAmu6tUMYy
Tom Heaton,tom.heaton,burnley,xP5F2RWbR!LGd
Sam Vokes,sam.vokes,burnley,OAihUswYAJb^C
Andre Gray,andre.gray,burnley,vO*Ooe0DRhs6U
Ben Mee,ben.mee,burnley,JiFIhfx8vPxG1
Stephen Ward,stephen.ward,burnley,6zSV3DhT13!kw
Matthew Lowton,matthew.lowton,burnley,F@AixjdECqRBy
Ashley Barnes,ashley.barnes,burnley,n!dAUScvzeVQc
Jeff Hendrick,jeff.hendrick,burnley,F*SqaS263jrS2
Scott Arfield,scott.arfield,burnley,aJFYIGW&%hflq
Steven Defour,steven.defour,burnley,XQWuuw%mEQSFO
Dean Marney,dean.marney,burnley,%19Qau#vS8$ih
Jack Cork,jack.cork,burnley,eq$uxRhC6IjGY
Johann Berg Gudmundsson,johann.berg.gudmundsson,burnley,M!gl!K5C6C%9O
Robbie Brady,robbie.brady,burnley,0Oh&ITEiw2WmB
James Tarkowski,james.tarkowski,burnley,*TmqNn7z@h9N#
Ashley Westwood,ashley.westwood,burnley,lhg6JdZ#c&%5!
Kevin Long,kevin.long,burnley,iy8%hbN*f&39X
Matthew Taylor,matthew.taylor,burnley,XF2$sPcC&bECM
Eden Hazard,eden.hazard,chelsea,3&3IzjFj0tQ8%
Diego Costa,diego.costa,chelsea,!s&*m!whwGVAy
Gary Cahill,gary.cahill,chelsea,N$YFM3aR!Wpa7
Marcos Alonso Mendoza,marcos.alonso.mendoza,chelsea,uCNFM&Cex61Mj
Cesar Azpilicueta,cesar.azpilicueta,chelsea,M%GGESZRP51ct
Pedro,pedro,chelsea,DvRrXN6zt261U
Thibaut Courtois,thibaut.courtois,chelsea,iyBG@HNsDF2UD
David Luiz,david.luiz,chelsea,PVK9Fse8$N6o@
Cesc Fabregas,cesc.fabregas,chelsea,ubaElzB^EAXfu
Willian,willian,chelsea,4GO$@PW81vI@M
Victor Moses,victor.moses,chelsea,cvZ*ho*@bQxyO
Nemanja Matic,nemanja.matic,chelsea,c*t2NOyzrNvdN
N%27Golo Kante,n%27golo.kante,chelsea,*I2@ac81zv4PW
Willy Caballero,willy.caballero,chelsea,1@mmDrFavTh0B
Michy Batshuayi,michy.batshuayi,chelsea,EvudCd@C5r4@W
Kurt Zouma,kurt.zouma,chelsea,rVBmgg6@cilpQ
Kenedy,kenedy,chelsea,WHiOsfbkcTs3k
Eduardo Carvalho,eduardo.carvalho,chelsea,BLzf7v9lgBQWa
Antonio Rudiger,antonio.rudiger,chelsea,YQiugYYjov%zH
Tiemoue Bakayoko,tiemoue.bakayoko,chelsea,0f!UYceCcbndx
Wilfried Zaha,wilfried.zaha,crystal_palace,tl#U150Y#SFVO
Christian Benteke,christian.benteke,crystal_palace,dYneLw#xF%%2i
Andros Townsend,andros.townsend,crystal_palace,3Eg7*%Ffn%Apv
Patrick van Aanholt,patrick.van.aanholt,crystal_palace,#Z37niJ3wDAKz
James McArthur,james.mcarthur,crystal_palace,SYnKjqoo5#gDI
Wayne Hennessey,wayne.hennessey,crystal_palace,NW%Rn!IX7$4dQ
Jason Puncheon,jason.puncheon,crystal_palace,S7BAjbMlIUWso
Yohan Cabaye,yohan.cabaye,crystal_palace,X&xME%VyqFHp3
Joel Ward,joel.ward,crystal_palace,VCT!MqQfxGo5i
James Tomkins,james.tomkins,crystal_palace,a6&BZzBh&h5*$
Scott Dann,scott.dann,crystal_palace,jm%rsvRdKu5n4
Damien Delaney,damien.delaney,crystal_palace,s!&WY$hs0KXvi
Jeffrey Schlupp,jeffrey.schlupp,crystal_palace,oZqR#M6@ocipM
Martin Kelly,martin.kelly,crystal_palace,YP2VJ!*cbbp^^
Luka Milivojevic,luka.milivojevic,crystal_palace,YS2#Xl*jgI8ER
Lee Chung-yong,lee.chung-yong,crystal_palace,t*RgjlQBcuZVn
Connor Wickham,connor.wickham,crystal_palace,#l3aZqv#E*m@@
Bakary Sako,bakary.sako,crystal_palace,h#cYSJ4Hu#$fZ
Pape Souare,pape.souare,crystal_palace,nTd7U!bXUPYGH
Ruben Loftus-Cheek,ruben.loftus-cheek,crystal_palace,Dlux6T8xJzJVY
Julian Speroni,julian.speroni,crystal_palace,8b#ljlXOX2^DH
Ross Barkley,ross.barkley,everton,glOUSL6zO9bdE
Leighton Baines,leighton.baines,everton,ybLhO*9O$nnTn
Seamus Coleman,seamus.coleman,everton,sVDeUf^cJQgUx
Ashley Williams,ashley.williams,everton,!koIt12$L#NJB
Kevin Mirallas,kevin.mirallas,everton,5&ciS1I#XTzLn
Michael Keane,michael.keane,everton,EGk6cjMLTl%aO
Phil Jagielka,phil.jagielka,everton,1^Ns#K85jm3rT
Jordan Pickford,jordan.pickford,everton,dq16IPbH@ofoL
Joel Robles,joel.robles,everton,dVl81fEawwFy@
Idrissa Gueye,idrissa.gueye,everton,nJ6U*nv5tie$&
Wayne Rooney,wayne.rooney,everton,RHZ9C@5Eh!&LS
Ramiro Funes Mori,ramiro.funes.mori,everton,HTmr12xXHKzv@
Maarten Stekelenburg,maarten.stekelenburg,everton,%*QeG8Wguzuf1
Gareth Barry,gareth.barry,everton,QvUxZey$lawTJ
Tom Davies,tom.davies,everton,aheM7WobfYJX@
Mason Holgate,mason.holgate,everton,53guBuH^Y*jD2
Yannick Bolasie,yannick.bolasie,everton,pRlb&OrtXR#Fc
Morgan Schneiderlin,morgan.schneiderlin,everton,bt%*awOEWB6%Y
Cuco Martina,cuco.martina,everton,tNH5q5xPc$u0a
James McCarthy,james.mccarthy,everton,Rsmdhr3uocyPo
Aaron Lennon,aaron.lennon,everton,l9NuLsLeKM*0n
Dominic Calvert-Lewin,dominic.calvert-lewin,everton,^L3@1#t&usmNa
Ademola Lookman,ademola.lookman,everton,NNn$EqoVoFiHW
Matthew Pennington,matthew.pennington,everton,0XbMfGEVldyKe
Jonjoe Kenny,jonjoe.kenny,everton,#!D4$zzULWrU3
Muhamed Besic,muhamed.besic,everton,4#JPe0Qlv*!on
Davy Klaassen,davy.klaassen,everton,FP9#IGdars1Jc
Sandro Ramirez,sandro.ramirez,everton,7n%7iOM^*ieJk
Joel Coleman,joel.coleman,huddersfield,F&st%VSd@ZhZ$
Jonas Lossl,jonas.lossl,huddersfield,6n%G!1*tcUsIX
Christopher Schindler,christopher.schindler,huddersfield,PaDchLc6^RwS1
Chris Lowe,chris.lowe,huddersfield,gbt^HSxA5KW5F
Tommy Smith,tommy.smith,huddersfield,$Iqi!cuUUec^&
Michael Hefele,michael.hefele,huddersfield,R1nnE78Yy%H2B
Martin Cranie,martin.cranie,huddersfield,rU5@7y@RqkX@a
Jon Gorenc Stankovic,jon.gorenc.stankovic,huddersfield,8ArvIBUZh$tLo
Mark Hudson,mark.hudson,huddersfield,tYH7klVK7GnBk
Mathias Jorgensen,mathias.jorgensen,huddersfield,V$ceShuWnO219
Scott Malone,scott.malone,huddersfield,D2^8HK#0Mvku8
Aaron Mooy,aaron.mooy,huddersfield,2DB6a%y^DYe*x
Rajiv van La Parra,rajiv.van.la.parra,huddersfield,WJnU%wU$T*qZD
Jonathan Hogg,jonathan.hogg,huddersfield,eLPhinE5lM$mk
Philip Billing,philip.billing,huddersfield,31TMxA#QBpq%^
Joe Lolley,joe.lolley,huddersfield,g2uZwF*c8RaOc
Jack Payne,jack.payne,huddersfield,&ZqrQBQR#Y^va
Dean Whitehead,dean.whitehead,huddersfield,VieZ9TBF$!JxM
Harry Bunn,harry.bunn,huddersfield,&VQ%deILF#pYK
Sean Scannell,sean.scannell,huddersfield,5on&3*&odhKrv
Elias Kachunga,elias.kachunga,huddersfield,705DMtyxz*AA#
Tom Ince,tom.ince,huddersfield,QuywPy7%gdb86
Kasey Palmer,kasey.palmer,huddersfield,UE#YvpYE6#EGg
Andy Williams,andy.williams,huddersfield,N5TC72bj52iJQ
Nahki Wells,nahki.wells,huddersfield,#QU*&*9TPmQ1S
Collin Quaner,collin.quaner,huddersfield,y5WURrVhcB@5C
Laurent Depoitre,laurent.depoitre,huddersfield,zY$i*b18v1sJZ
Steve Mounie,steve.mounie,huddersfield,UWlPXp6l&m2W0
Jamie Vardy,jamie.vardy,leicester_city,FKdF91eNpie%r
Riyad Mahrez,riyad.mahrez,leicester_city,aYN6$xpUbotZa
Kasper Schmeichel,kasper.schmeichel,leicester_city,Fv5b8fNDra*a#
Christian Fuchs,christian.fuchs,leicester_city,$^!Xg&1XNk8Dt
Marc Albrighton,marc.albrighton,leicester_city,WKGtR8HiYGUze
Robert Huth,robert.huth,leicester_city,RO^gV&^a7%XT#
Danny Simpson,danny.simpson,leicester_city,5@y^454waClOs
Islam Slimani,islam.slimani,leicester_city,1lDIE6cCz*L1V
Harry Maguire,harry.maguire,leicester_city,VTzIft7hxP4gt
Danny Drinkwater,danny.drinkwater,leicester_city,VcZWR#5nXEDmL
Wes Morgan,wes.morgan,leicester_city,*1d3UfAhW**vC
Shinji Okazaki,shinji.okazaki,leicester_city,!byeq3IBxJJT6
Wilfred Ndidi,wilfred.ndidi,leicester_city,RdJop&z%i4GZS
Demarai Gray,demarai.gray,leicester_city,sTE8GVh8xZE*X
Daniel Amartey,daniel.amartey,leicester_city,&54p6Q*0DA3s!
Andy King,andy.king,leicester_city,2I1O44$taf1@S
Ahmed Musa,ahmed.musa,leicester_city,dvf1c^qvyqOqB
Yohan Benalouane,yohan.benalouane,leicester_city,RY6zPyLyEES^Z
Leonardo Ulloa,leonardo.ulloa,leicester_city,4bCY^&o3PuCeI
Ben Chilwell,ben.chilwell,leicester_city,U&WrJp4i##3dY
Nampalys Mendy,nampalys.mendy,leicester_city,FeFx1AGGhwA5b
Ben Hamer,ben.hamer,leicester_city,3&BEhD1v9@eP%
Molla Wague,molla.wague,leicester_city,ILbXm%mxZ2GR7
Vicente Iborra,vicente.iborra,leicester_city,m9h3HkiPBtJ*$
Roberto Firmino,roberto.firmino,liverpool,^iqko^LEmeqoP
Philippe Coutinho,philippe.coutinho,liverpool,n8g!uHqwdXbI2
Sadio Mane,sadio.mane,liverpool,AJ9aC3sJ063ty
Georginio Wijnaldum,georginio.wijnaldum,liverpool,%ZVF6T1DE#d@p
James Milner,james.milner,liverpool,YJS9dJDcVefh^
Adam Lallana,adam.lallana,liverpool,srLANa6fy5PXS
Nathaniel Clyne,nathaniel.clyne,liverpool,u#e%xinNVyz0i
Simon Mignolet,simon.mignolet,liverpool,d^RKiPsNFQbyU
Dejan Lovren,dejan.lovren,liverpool,&TM!i0tdSmdK!
Emre Can,emre.can,liverpool,nSUrne4qV5IoZ
Joel Matip,joel.matip,liverpool,^o1c%LpKspHcm
Divock Origi,divock.origi,liverpool,YvRRC6Av8qmY%
Jordan Henderson,jordan.henderson,liverpool,XIK&kSLkrv7Ma
Daniel Sturridge,daniel.sturridge,liverpool,TiN!c7q70&mVO
Lucas Leiva,lucas.leiva,liverpool,sDFYppdTX7GxF
Ragnar Klavan,ragnar.klavan,liverpool,CNmmky&1%nxqg
Mamadou Sakho,mamadou.sakho,liverpool,Yye9Kel5j42dZ
Loris Karius,loris.karius,liverpool,PbbD&k7uBd1ah
Trent Alexander-Arnold,trent.alexander-arnold,liverpool,V!ezGQ7zYH#9s
Alberto Moreno,alberto.moreno,liverpool,LREZxmf2yG4L!
Ben Woodburn,ben.woodburn,liverpool,8qU5SGAZ6oF^O
Marko Grujic,marko.grujic,liverpool,Afnk3s1V^KS%*
Joe Gomez,joe.gomez,liverpool,qh@D11#tYrH4C
Sheyi Ojo,sheyi.ojo,liverpool,Lbk*hJuJ*nkAw
Mohamed Salah,mohamed.salah,liverpool,*HNymYXU4oA0p
Danny Ings,danny.ings,liverpool,FX97XYZv!KPma
Dominic Solanke,dominic.solanke,liverpool,ymcTZ*t0x8yyN
Kevin De Bruyne,kevin.de.bruyne,manchester_city,rX*quQrxOcd6Y
Sergio Aguero,sergio.aguero,manchester_city,RRsvtZSe72Dcx
Raheem Sterling,raheem.sterling,manchester_city,USs1l1q7AhBzI
Kyle Walker,kyle.walker,manchester_city,!d5HZ3F^v%sBS
David Silva,david.silva,manchester_city,Ihk*a8IqTmxbE
Leroy Sane,leroy.sane,manchester_city,ybu$tm9YHmhb*
Nicolas Otamendi,nicolas.otamendi,manchester_city,dnFKMrR6^vhC2
Aleksandar Kolarov,aleksandar.kolarov,manchester_city,rpZ$!i$%J2^G$
Yaya Toure,yaya.toure,manchester_city,qYl#1HpEF7IXv
Fernandinho,fernandinho,manchester_city,HlCqE4T8p#1GJ
Claudio Bravo,claudio.bravo,manchester_city,KihnXni^8Gk%e
Gabriel Jesus,gabriel.jesus,manchester_city,L&fiT!vnuG%he
John Stones,john.stones,manchester_city,@77JMe*S6#bnL
Vincent Kompany,vincent.kompany,manchester_city,b6CaWmSt*edeS
Kelechi Iheanacho,kelechi.iheanacho,manchester_city,VBjGznPr2c^P6
Ilkay Gundogan,ilkay.gundogan,manchester_city,8Y30h@d5v6pHU
Fernando,fernando,manchester_city,Jb%hw9Qw1JqV&
Fabian Delph,fabian.delph,manchester_city,6acNx#MaV0c2y
Ederson Moraes,ederson.moraes,manchester_city,U&cX1*b04a!&j
Bernardo Silva,bernardo.silva,manchester_city,zihjS9N*!fHkx
Romelu Lukaku,romelu.lukaku,manchester_united,Ojq25YyDusukF
David de Gea,david.de.gea,manchester_united,nKtCV9FX7#d8A
Antonio Valencia,antonio.valencia,manchester_united,a1ANR&&eKQxa&
Paul Pogba,paul.pogba,manchester_united,2bCfv4kxcT2xE
Eric Bailly,eric.bailly,manchester_united,6L&5OovoMja&%
Juan Mata,juan.mata,manchester_united,Bu%ss53bDjeGf
Daley Blind,daley.blind,manchester_united,TJFUtJ9fEED@U
Ander Herrera,ander.herrera,manchester_united,DWN#^eMTfi&vl
Anthony Martial,anthony.martial,manchester_united,*Y2$Hm1v$6190
Marcos Rojo,marcos.rojo,manchester_united,oW54tdX*lPKs@
Marcus Rashford,marcus.rashford,manchester_united,jgk!13my&p862
Henrikh Mkhitaryan,henrikh.mkhitaryan,manchester_united,M!jPXt7FbZ7WF
Matteo Darmian,matteo.darmian,manchester_united,3HVhS2ktr25H2
Jesse Lingard,jesse.lingard,manchester_united,0CH5%!OE$YYEl
Phil Jones,phil.jones,manchester_united,W9#o3%LXQSj#y
Chris Smalling,chris.smalling,manchester_united,xSejjgve&voc1
Marouane Fellaini,marouane.fellaini,manchester_united,2p10@TyqBx$!A
Luke Shaw,luke.shaw,manchester_united,eleoRd$vN%bO*
Michael Carrick,michael.carrick,manchester_united,By&2o5w7WcTTl
Ashley Young,ashley.young,manchester_united,zcMKem^AA^1o!
Sergio Romero,sergio.romero,manchester_united,5#Z*HMJYJSztE
Axel Tuanzebe,axel.tuanzebe,manchester_united,AAlT*cd6ZYsOB
Timothy Fosu-Mensah,timothy.fosu-mensah,manchester_united,mokTPAl4BDXZT
Joel Castro Pereira,joel.castro.pereira,manchester_united,IynFK2*!IX#Wo
Victor Lindelof,victor.lindelof,manchester_united,p6EP!Tg4Qfn$i
Rob Elliot,rob.elliot,newcastle_united,LgjqcPXSsiT2b
Karl Darlow,karl.darlow,newcastle_united,85moWgfvsKLe4
DeAndre Yedlin,deandre.yedlin,newcastle_united,SyB5X0s59mvi$
Ciaran Clark,ciaran.clark,newcastle_united,3lY0Gm&YwYx01
Lascelles,lascelles,newcastle_united,YZRWhke61OHQG
Paul Dummett,paul.dummett,newcastle_united,XrMcLqIxJPA7f
Grant Hanley,grant.hanley,newcastle_united,!D4Q!g3RNkNbw
Jesus Gamez,jesus.gamez,newcastle_united,HfK#73c!Lj0zK
Florian Lejeune,florian.lejeune,newcastle_united,NqW@qMQ!jsna9
Massadio Haidara,massadio.haidara,newcastle_united,lL1DTTUY1H%RK
Matt Ritchie,matt.ritchie,newcastle_united,Aw1jEz1woX77U
Jonjo Shelvey,jonjo.shelvey,newcastle_united,LWIt^tkwojzZH
Mohamed Diame,mohamed.diame,newcastle_united,pCpB1xcQDCO1M
Jack Colback,jack.colback,newcastle_united,&bG9fRcS%xT4k
Christian Atsu,christian.atsu,newcastle_united,5P^bbm@ZtPQfM
Siem de Jong,siem.de.jong,newcastle_united,t4usg%vxojmqV
Rolando Aarons,rolando.aarons,newcastle_united,3*M4W1X@sdsgH
Dwight Gayle,dwight.gayle,newcastle_united,IR3!hpQLTAe@t
Ayoze Perez,ayoze.perez,newcastle_united,2*Q1$3QDfiWa2
Aleksandar Mitrovic,aleksandar.mitrovic,newcastle_united,eBxZZsB!q&xlH
Daryl Murphy,daryl.murphy,newcastle_united,s5XhC!TND@KWx
Fraser Forster,fraser.forster,southampton,6993OdDfE2Y6E
Nathan Redmond,nathan.redmond,southampton,p86RVhuE$j@Vz
Ryan Bertrand,ryan.bertrand,southampton,nmeWDpb05VPts
DuÅ¡an TadiÄ‡,duå¡an.tadiä‡,southampton,CwK*9NTh8Xrjd
Cedric Soares,cedric.soares,southampton,jK%ngAzZ#FfQc
James Ward-Prowse,james.ward-prowse,southampton,IgxZ&Ltt71F4j
Oriol Romeu,oriol.romeu,southampton,2Yf9hn&^yLdYh
Maya Yoshida,maya.yoshida,southampton,Dog@R9*82wGlH
Steven Davis,steven.davis,southampton,ZMTAj!4fryngP
Virgil van Dijk,virgil.van.dijk,southampton,&Ii$mXduDm%ow
Charlie Austin,charlie.austin,southampton,5UQt4cwR0tkNr
Jack Stephens,jack.stephens,southampton,$e@XA9mMgP5y3
Shane Long,shane.long,southampton,47mvOoyc4$nzF
Sofiane Boufal,sofiane.boufal,southampton,vscDVeyf@8#G$
Jordy Clasie,jordy.clasie,southampton,NRga5LvA5TwxY
Pierre-Emile Hojbjerg,pierre-emile.hojbjerg,southampton,QOM$6C7ES9uuP
Manolo Gabbiadini,manolo.gabbiadini,southampton,wnm02yz455MnE
Sam McQueen,sam.mcqueen,southampton,e%uFbmEm0a%v&
Matt Targett,matt.targett,southampton,Lh0^uNfuNBapB
Josh Sims,josh.sims,southampton,nmh2yq5eVy#bT
Jeremy Pied,jeremy.pied,southampton,I!^D&fyffBd#*
Jason McCarthy,jason.mccarthy,southampton,Zb66@VVvCkHui
Jan Bednarek,jan.bednarek,southampton,OOlD@tHf@Qi$P
Joe Allen,joe.allen,stoke_city,18LEzcwKhYzI$
Marko ArnautoviÄ‡,marko.arnautoviä‡,stoke_city,voXY3j7x3Or4o
Lee Grant,lee.grant,stoke_city,q%5Mv293v5bA@
Erik Pieters,erik.pieters,stoke_city,TSC^fy&vNgm7r
Steven Fletcher,steven.fletcher,stoke_city,5W^F!DTDnrWgs
Ryan Shawcross,ryan.shawcross,stoke_city,OyVHQhHL0dNs6
Xherdan Shaqiri,xherdan.shaqiri,stoke_city,!0n&^6R9eJT$#
Peter Crouch,peter.crouch,stoke_city,u9C3mp2qDv1%h
Glenn Whelan,glenn.whelan,stoke_city,xVUjZ&m9d9%!!
Charlie Adam,charlie.adam,stoke_city,UCHoq6LrGziP*
Geoff Cameron,geoff.cameron,stoke_city,4Ukm#rUA4JsHM
Glen Johnson,glen.johnson,stoke_city,L54&0BOwWyfoC
Mame Biram Diouf,mame.biram.diouf,stoke_city,q&%6KcK%Y#CKX
Ramadan Sobhi,ramadan.sobhi,stoke_city,reh*wDflLf6RG
Marc Muniesa,marc.muniesa,stoke_city,u!mn#sECtyhx4
Bojan KrkiÄ‡,bojan.krkiä‡,stoke_city,%VRIE9%9q$e8E
Phil Bardsley,phil.bardsley,stoke_city,uEP8gMAbBD&UM
Saido Berahino,saido.berahino,stoke_city,2CTWAt#v!lp#2
Giannelli Imbula,giannelli.imbula,stoke_city,REA1WU*85nNms
Jack Butland,jack.butland,stoke_city,LYLRFzzD!ktr4
Ibrahim Afellay,ibrahim.afellay,stoke_city,SFkv1@^R#U3Vd
Josh Tymon,josh.tymon,stoke_city,F2cJt9%Unzr8o
Gylfi Sigurdsson,gylfi.sigurdsson,swansea,RF@RoclF0Wi^K
Fernando Llorente,fernando.llorente,swansea,foQre!I*4UvWL
Åukasz FabiaÅ„ski,åukasz.fabiaå„ski,swansea,W5C$V%zB*KqM&
Leroy Fer,leroy.fer,swansea,9ANGw^3WdR7oT
Alfie Mawson,alfie.mawson,swansea,KF0AEi2L&BkLI
Kyle Naughton,kyle.naughton,swansea,wj9sIipt9MsKN
Wayne Routledge,wayne.routledge,swansea,7XP@0L6tBTKuS
Federico Fernandez,federico.fernandez,swansea,8u!sK4Fxyi$76
Martin Olsson,martin.olsson,swansea,xDAMnvw&E6Uy8
Tom Carroll,tom.carroll,swansea,@G7Od@HeJRhw7
Ki Sung-yueng,ki.sung-yueng,swansea,!gGW*GkGZ%D0a
Jordan Ayew,jordan.ayew,swansea,SRTq^!7e94agM
Modou Barrow,modou.barrow,swansea,#MDxTwXGsdn%N
Leon Britton,leon.britton,swansea,Yp%l!!HCYnSOG
Stephen Kingsley,stephen.kingsley,swansea,QVgquv^vjil#b
Ã€ngel Rangel,ã€ngel.rangel,swansea,Xz#@lK0VraQ*V
Luciano Narsingh,luciano.narsingh,swansea,BvZKl*mmOP%Y8
Jay Fulton,jay.fulton,swansea,Q%5i*b4Q#Blq3
Jefferson Montero,jefferson.montero,swansea,oPKG$ow0zspWW
Mike van der Hoorn,mike.van.der.hoorn,swansea,pebL&5wDFQqaF
Nathan Dyer,nathan.dyer,swansea,yBtMpD5pX^R!t
Oliver McBurnie,oliver.mcburnie,swansea,HwDyM0E^h3R1g
Kristoffer Nordfeldt,kristoffer.nordfeldt,swansea,6%pkCA5kzJwe9
Roque Mesa,roque.mesa,swansea,Z$F!2beBfVtIL
Tammy Abraham,tammy.abraham,swansea,ZetdCoS@108MD
Dele Alli,dele.alli,tottenham,ZNCVXBxj9dl3Z
Harry Kane,harry.kane,tottenham,UNRnWnjk01dWk
Christian Eriksen,christian.eriksen,tottenham,749VWK8BCLllu
Son Heung-min,son.heung-min,tottenham,K8FzS0URz&bw0
Hugo Lloris,hugo.lloris,tottenham,CDQ6RSEv%PF^P
Jan Vertonghen,jan.vertonghen,tottenham,Z$4i15IySydJ*
Toby Alderweireld,toby.alderweireld,tottenham,mjrYhU1r3Jl3K
Victor Wanyama,victor.wanyama,tottenham,cx*KYETmIu3jo
Eric Dier,eric.dier,tottenham,B4p&4e&!nmfbl
Ben Davies,ben.davies,tottenham,UWjBIjK#GXxLv
Danny Rose,danny.rose,tottenham,IacYO$O6hoZY&
